Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
A5HWA6;A5HWA7;A5HWA8;Q9U289,efl-2,NA,NA,NA,NA,NA,2.54E-08,16.9,284
Q9NES9;A5HWB2,,NA,NA,NA,NA,NA,0.00016727,10.1,129
A5JYR4,dab-1,NA,NA,NA,NA,NA,6.54E-110,22.4,492
A5JYR6,,NA,NA,NA,NA,NA,3.02E-32,41.5,142
A5JYS1;A5JYS0,pcs-1,-0.490775482,-0.151858817,-0.369047643,0.021687202,0.029970978,3.93E-32,18.7,418
Q5WRP6;A5JYS5;Q7JM28;Q18798,,NA,NA,NA,NA,NA,2.84E-10,1.5,1301
C6KRJ4;A5JYS6;Q5CZ44,,NA,NA,-1.049282249,NA,-0.451013243,0.00054704,10.3,107
Q19426-2;A5JYS7;Q19426,F13H10.4,-0.591104905,0.051189865,0.217926985,0.150609162,0.569072483,1.13E-158,21.5,789
A5JYS8;Q19789,,0.406961816,-0.005328121,-0.269392279,-0.156137698,-0.631616529,3.12E-51,28.4,296
A5JYT2;Q17581,swsn-9,-1.170822399,-0.923719679,-0.686971077,-0.451962766,-0.518535139,8.68E-143,25.9,582
A5JYT3;A5JYT4,,1.303258317,-0.428892762,-1.251567621,NA,NA,2.20E-18,24.9,201
Q17813;A5JYT6,ugt-17,NA,NA,NA,NA,NA,4.80E-05,2.4,536
Q20130;A5JYT9;Q8WQF4,,NA,NA,NA,0.100623257,NA,1.25E-38,13.4,582
A5JYU1,,NA,-0.302289802,-0.166072676,NA,-0.507008078,2.13E-47,53.3,90
A5JYU3;Q21798,,-0.770110162,NA,0.100545914,NA,NA,5.60E-43,16.4,483
O44199;A5JYU5,rad-50,-0.869002765,0.360341807,0.92475491,0.888194115,0.935089564,0,52,1298
A5JYU7;A5JYU6,lmd-1,NA,NA,NA,NA,NA,2.16E-05,12,142
A5JYW3,,NA,NA,NA,NA,NA,8.07E-20,63.7,91
O01319;A5JYW9,sin-3,-1.052694111,-0.295370388,0.322613538,0.453024073,0.645367302,1.26E-193,27,1505
P90947;A5JYX3,hmp-1,-0.915023664,NA,-0.861479018,-0.383828687,-0.253989266,1.14E-136,27.2,927
A5JYX4;A5JYX5;A5JYX6,dhs-3,-0.292663973,-0.134089481,0.929720596,0.273813999,-0.455439015,0,62.5,307
A5JYX9,,-0.905966975,-0.165300975,2.736965594,3.240861214,3.249067693,2.74E-203,70.3,316
A5JYY6,,NA,NA,NA,NA,NA,0.000228,11.4,140
O62414;A5PEW5,ric-4,NA,NA,NA,NA,NA,1.09E-11,19.3,207
Q9XXN3;A5PEW7,T19A6.3;nepr-1,NA,NA,NA,NA,NA,5.85E-07,13.6,140
A5PEX5;Q9U245,lin-7,-0.751635103,NA,NA,NA,NA,1.48E-37,37.8,209
Q9U207;A5PEX6;G2HK02;G2HK03,pqn-87,-0.205517633,0.120106068,0.11381667,0.203717896,0.355571462,5.67E-260,26,1456
A5PEY0,,-1.741876815,NA,-0.223298973,0.151746637,-0.021479727,2.54E-65,32.6,181
Q8WQA3;A5PEY3,rpom-1,0.224165621,NA,-0.167100969,0.237948897,0.421843814,6.58E-42,12.1,1138
A5Z2S2,,-0.361992886,NA,NA,NA,NA,2.85E-08,25.2,135
A5Z2S3;O62263,,-0.169283661,-0.439357178,NA,-0.269033146,NA,4.79E-42,4.9,3563
A5Z2S4;Q18696;B2D6K9,saps-1,-0.444879056,-0.249870047,-0.282024581,-0.008773707,0.219521911,5.48E-149,36.8,717
Q17513;A5Z2S5,,NA,NA,NA,NA,NA,1.96E-05,3,497
Q86D00;A5Z2S9,,NA,NA,NA,NA,NA,0.0001134,23.6,55
Q20149;A5Z2T1,,NA,NA,NA,NA,NA,5.74E-07,6.4,218
A5Z2T6;Q18960,,-0.456701031,0.83874434,0.732643988,0.522571345,0.236163541,7.40E-77,24.6,855
A5Z2T7;Q23316,aph-2,-0.912036637,-0.345736995,-0.011352507,-0.117562069,0.028454607,7.85E-18,10.4,721
A5Z2T9,,-0.180784391,-0.314870509,0.19482313,0.019009569,-0.118359726,1.02E-88,31.4,373
A5Z2U4;O02217,rsa-1,-1.022261272,-0.63784206,-0.701770822,-0.259664184,-0.021479727,2.83E-23,20,400
A5Z2U5,,-0.133037379,1.006072079,1.139362913,0.622865143,NA,7.02E-102,20.4,647
A5Z2U7,,NA,NA,NA,NA,NA,1.52E-135,60.6,127
A5Z2U9,,-1.148283363,NA,1.134793803,2.159202442,NA,1.53E-11,24,100
Q8I4J5;Q9XVN9;A5Z2V0;A5Z2V1,cids-2,-1.210014738,-0.417163907,NA,NA,NA,4.91E-49,12.5,656
A5Z2V2,,NA,-0.073408955,1.918878566,2.312724268,2.725469955,3.09E-25,22.4,98
Q564V0;Q95QM9;A5Z2V7,,-0.514803986,-0.07819992,0.194426876,0.043214748,0.161911487,2.47E-70,14.7,387
A5Z2W3,,-0.700528497,0.050502419,0.540904175,0.695956304,0.804803609,2.54E-55,24,225
A5Z2W4;O18052,,NA,NA,NA,NA,NA,1.42E-09,12.3,220
A5Z2W6;O46010,,-0.924403979,-0.635243612,-1.392866916,-2.686612577,-0.829524866,6.73E-98,29.4,309
A5Z2W7;O45637,,-1.615557546,-0.332622014,0.625711661,1.614580007,1.949477407,5.92E-14,41.7,108
A5Z2X2,nuo-3,0.126092331,-0.058524312,-0.203263813,-0.246955265,-0.234256048,6.20E-35,51.4,74
A6PVA1,,-0.44911232,-0.164271398,-0.033792989,0.253394854,0.124896236,3.25E-126,40.3,538
A6PVA5;O16314,,-0.38659025,-0.042784398,0.239872752,0.258528699,0.19337073,8.80E-66,37.7,199
Q8I4I4;Q20621;A6ZJ46,,-0.383054501,-0.100843124,-0.472695713,-0.507109594,-0.230694897,6.84E-202,28.8,517
A6ZJ62;Q20063,,NA,NA,NA,NA,NA,3.55E-06,2.3,433
A7DT38;G5EEJ3,gpb5,-0.896233092,NA,NA,NA,1.800827091,2.15E-61,57.6,125
A7DT40,,0.578779394,-0.053528441,-0.333996118,NA,NA,1.07E-66,17.7,727
A7DT41,tag-296,-0.423524388,0.025382587,0.153462556,0.536272928,0.525060432,3.16E-73,39.9,281
A7DT45,oxy-5,-0.109828565,-0.084880654,0.14334092,-0.686433293,-0.295723025,3.30E-38,41.4,162
A7DT48,,0.047875211,NA,NA,NA,NA,1.99E-90,35.2,406
Q9XWW2;A7DTF0,mrg-1,-0.547943311,-0.286289758,-0.379731849,-0.297250121,-0.034497464,1.01E-117,38.2,335
D3NQA3;A7DTF1;Q9XWR1,flh-1,NA,NA,-0.361656083,-0.042924445,NA,1.48E-72,25.7,501
A7DTF2;G2HK04;Q95Q23;A7DTF3,obr-1,NA,NA,NA,NA,NA,3.64E-148,24.6,842
A7DTF5;Q9U222,,0.760186503,-0.734655433,-0.963770031,-0.901339983,-0.263995882,1.45E-228,47.5,570
A7KQE9;G5EF03;A8DYS1;A8DYS0;A8DYS3,etr-1,0.004812191,-0.302289802,-0.766637562,-0.724912159,-0.43850578,4.64E-41,20.5,513
A7LPD6;Q22096,igcm-3,NA,NA,NA,NA,-0.42932137,1.61E-55,10.2,591
Q20296-2;Q20296;A7LPD8,hda-6,-0.452490009,NA,0.47808491,NA,NA,6.29E-21,7.8,863
A7LPE4;P34609-2;P34609-3;P34609;C0P271;C7FZT6;A7LPE3,unc-16,-0.141171172,-0.29007047,-0.467801156,-0.433173124,-0.292781749,1.53E-108,16.2,1185
A7LPE6;Q7JMU1;P34517;A7LPE5,gpdh-2,-0.834225787,-0.266636643,-0.096126889,0.052176773,-0.095586908,0,78.6,360
A7LPF3;Q20364,,-0.212756083,-0.124063396,0.095311675,-0.058524312,0.059374668,3.44E-170,27.7,657
A7LPF5;Q38G53,,NA,NA,NA,NA,NA,2.67E-28,14.1,227
Q9U377;G5EDQ5;A7LPF8,unc-69,NA,NA,NA,NA,NA,2.42E-35,23.1,108
Q5FC71;A7LPG5,,-0.134878054,0.380295897,0.39009378,0.077619447,0.179318608,1.35E-58,62.1,103
A7LPH5;Q19267,,0.39185313,-0.073683154,-0.526168995,-0.682483407,-0.666120303,2.10E-60,31,310
A7LPI2;Q94071,hlb-1;T21H8.1,0.018395731,-0.584962501,-0.836489726,-1.191373142,NA,2.90E-41,7.4,962
A7LPI3,,NA,NA,NA,NA,NA,8.78E-19,20.3,197
A7LPI4;Q93616,lsy-22,-0.939151337,NA,-0.613437356,NA,-0.123798608,5.59E-13,10.7,291
A7LPI7,,NA,NA,NA,NA,NA,5.30E-06,25,92
A7LPJ5,,-0.069564695,0.154425648,-0.220082261,-0.669117498,-1.165236648,1.16E-62,38.8,255
Q8I4B3;A7UQ07;Q23369,best-22,NA,NA,NA,NA,NA,7.87E-12,6.7,480
A7WK39;Q9N426,pnc-1,0.513398885,0.472869595,-0.252536767,-0.611738957,-0.671565126,1.04E-76,32.4,315
A7WK41,,0.098969012,-0.086240276,-0.200629898,-0.450907702,-0.545671894,2.83E-54,62.2,164
A7WK43,,NA,NA,NA,NA,NA,3.40E-08,15,120
A7WK48;A7WK47,pig-1,-1.466444406,NA,0.369128617,0.888007211,0.919178636,1.28E-87,20.7,699
A8DZ32;O16580,gba-1,0.479713541,-0.652692989,-0.571337027,-1.307078739,-0.667210912,2.12E-134,36,470
A8JJR1;Q9XUQ4;Q1ZXS5,vps-39,NA,-0.507414099,NA,NA,-0.493237419,1.54E-20,8,920
A8WFF4,,NA,NA,NA,NA,-0.286408055,9.03E-38,22.2,333
A8WFH5,,NA,NA,NA,NA,1.273796557,2.48E-29,3.6,2444
A8WFH7;Q3HKC5,,NA,NA,NA,NA,NA,1.57E-08,5.2,422
Q1WBU8;A8WFI7,oga-1,NA,NA,NA,NA,NA,1.01E-33,9.7,854
A8WFJ8,,0.511896367,-0.610038557,-0.332965663,-0.297015288,-0.291839273,2.21E-141,80.8,302
A8WFK6,gpx-7,0.171482149,-0.860684757,NA,-1.042994464,-1.919378223,9.47E-21,28.4,197
A8WFM7,,0.582533605,NA,NA,NA,NA,7.93E-23,21.1,180
A8WFM9,,NA,NA,NA,NA,NA,4.19E-06,6.7,225
A8WHR9;Q19762,,NA,NA,NA,NA,NA,0.00016352,9.1,165
A8WHS5;A8WHS4;Q20733,saeg-1,NA,NA,NA,NA,NA,1.02E-05,4,580
A8WHS8,,NA,NA,NA,NA,NA,0.00044575,5.2,252
A8WHT1,C53A5.17,-0.105812151,-0.288299495,0.006477795,NA,-0.139600465,3.53E-14,14.3,474
A8WHT8,,-0.147046143,-0.3035762,-0.043624477,-0.286999397,-0.614568512,3.21E-53,15.1,920
A8WI10,,NA,NA,NA,NA,NA,6.26E-13,7.8,231
A8WI97;Q9U1T6;Q8I4B8,,-2.469391104,-0.211759833,1.617498743,3.063710705,2.997693533,0,32,591
A8WIT0,,0.421322082,0.015170069,NA,-0.463622457,-0.56315813,1.43E-63,11.6,611
A8XMZ5,efhd-1,NA,NA,NA,NA,NA,1.48E-53,56.4,179
A8XQ35;Q9U252,rsy-1,NA,NA,NA,NA,NA,0.00013291,2.4,492
Q966L2;A9CZN9,,-0.288771967,-0.100977648,0.18521171,0.147553637,0.235483986,2.63E-91,36.6,276
A9D0C6;A9D0C3,,0.616901248,0.057992286,-0.316029859,-0.497944422,-0.604640696,6.59E-81,24.3,518
Q9BKU2;A9D2X7,,-0.001586092,NA,0.079493265,-0.150559677,NA,8.85E-22,30.3,370
O16376;A9D4S6,,-0.093424959,-0.250719083,-0.452384576,-0.162983392,-0.203639694,2.53E-265,33.6,744
A9D649,sut-1,NA,NA,NA,NA,NA,1.54E-32,13.6,235
O44161;A9D699,zhit-1,NA,NA,NA,-0.419431022,NA,5.57E-07,31.9,116
A9D7B8;O44769,,NA,NA,0.189960043,NA,NA,4.56E-13,22.7,260
A9D7Z5,,NA,NA,NA,NA,NA,4.10E-24,6.7,224
A9QY28,,NA,NA,NA,NA,NA,5.59E-16,39.8,83
A9QY30,,-0.43850578,-0.146524891,0.321495351,0.305146545,-0.113433803,2.77E-16,20.1,284
Q17948;Q9U3Q1;A9UJN4,pptr-2,-0.625551051,0.042011133,0.00785518,0.145334044,0.050801268,6.46E-238,38.6,557
A9UJN7;Q93562,,-2.302406795,0.448764551,1.256631528,0.417829409,0.400263267,0,53.8,874
A9Z1J6,,NA,NA,NA,NA,NA,5.51E-93,41.5,299
A9Z1J8;P34258,B0303.7,NA,-0.007769594,0.297821218,0.482190168,NA,1.96E-31,20.6,467
A9Z1K9,,NA,NA,NA,NA,NA,9.47E-05,3.4,382
G5EBT3;A9Z1L1;Q6QUQ5;Q6QUQ6,srp-7,-1.050745464,-0.216610069,0.40740184,1.010948211,1.363159644,0,80.9,366
A9Z1L6,,-0.389346536,0.090234575,0.6099487,0.421012997,0.354741039,8.84E-55,44.8,393
B0M0L8,hsp-43,-3.742329649,0.349915598,1.355460712,1.793806907,2.038065572,1.79E-197,37.8,336
B0M0L9;Q9BIA9,,0.026807543,0.783638265,0.415826388,-0.40990682,-0.727354154,1.65E-134,42,326
B0M0M3;P34545-2;P34545,cbp-1,-0.905581959,-0.993927921,-1.004537347,-0.505382849,-0.451751815,4.76E-70,11.2,2016
B0M0N9;B0M0P0;B6VQ90,glna-1,-0.125915549,0.772505349,0.895529142,0.497852739,0.325955223,3.82E-127,25.7,791
O16457;B1GRK5,,NA,-0.169283661,0.820183245,-0.052972275,-0.560030123,1.93E-20,15.3,320
B1GRK6,,NA,1.442183125,1.244309087,1.059855806,1.037147479,1.15E-128,23.8,564
B1GRL0,,NA,NA,NA,NA,NA,4.84E-16,14.9,422
B1GRL5,,-0.25386828,-0.158466295,-0.051163253,0.233752569,NA,9.72E-66,54.2,142
B1Q233;Q18931,ubc-6,NA,NA,NA,NA,NA,0.00036577,4.3,299
B1Q236,syg-1,NA,NA,NA,NA,NA,2.38E-21,8.1,730
B1Q237,,NA,NA,NA,NA,NA,2.99E-09,5.2,792
B1Q250,ugt-26,-0.163241085,0.318038067,-0.982655956,-0.779133624,-1.838830781,7.56E-151,39.4,528
B1Q251,,NA,NA,NA,1.299240705,NA,6.32E-32,20.2,198
B1Q254;B1Q255,,0.165159364,-0.421909973,0.239446899,-0.946506299,-1.122275136,3.40E-279,45.4,802
B1Q259;Q21777,ztf-15,NA,NA,NA,NA,NA,6.30E-06,4.7,681
Q5FC40;B1Q273,,NA,NA,0.83110128,1.954892579,2.188759161,5.09E-65,21.5,177
B1V898,poml-3,-0.129085148,-0.354564999,-0.704960471,-1.908889747,NA,1.65E-133,27.9,365
D9PTP1;D9PTP0;B1V8J2;Q9XWX6;D9PTN9;Q9XWX7,,NA,NA,NA,NA,NA,4.36E-35,16.5,139
B1V8K3;B1V8K4,,NA,NA,NA,NA,NA,6.87E-06,16.6,211
B2D6K7;G5ED29;D4PH96;Q5FC83,atx-2,0.145956463,0.441575613,-0.107152199,-0.241107975,-0.355354621,4.60E-229,28.9,930
G5EEB4;D2KT99;G5EGU9;Q565A8;B2D6L4;Q9XVV8;Q18094,szy-20,NA,0.406847049,NA,NA,NA,9.30E-11,5.7,457
F5GUB1;B2D6L7,,1.681677373,NA,NA,NA,NA,3.74E-82,49.7,149
B2D6M2;Q21769,lin-61,-1.094844104,-0.198242682,0.015534601,0.073955023,0.163284075,2.01E-113,35.6,612
B2D6M4;Q22397,aat-6,NA,NA,NA,NA,NA,4.58E-11,6,513
B2D6P1,rmd-2,-0.54675867,NA,-0.226385217,NA,NA,4.52E-254,74.7,225
G1K0Y0;B2D6P3;Q93485,obr-2,0.314068819,NA,NA,NA,NA,1.88E-07,12.9,264
G5EC52;B2D6P4,tlf-1,-0.080930488,NA,NA,-0.267236142,NA,1.80E-10,8.7,505
E1B6V0;Q9XVK9;B2D6P5;P92004,tag-260,NA,NA,NA,NA,NA,2.01E-10,15.9,245
B2FD96;B2FD95,,NA,NA,NA,NA,NA,2.04E-17,7.1,420
B2FDA6;B2FDA5,,NA,NA,NA,NA,NA,6.26E-07,14.9,94
B2MZA7;Q95QQ1,dnj-8,NA,NA,NA,NA,NA,7.92E-30,11.7,750
Q95QZ3;B2MZA9;Q95QZ4;Q10923,ntl-2,-0.2391536,-0.046840254,0.071193855,0.242976753,0.198245346,4.91E-98,31.5,317
B2MZB0,clr-1,NA,-0.393526032,0.051145021,-0.321004474,NA,1.35E-29,3.8,1407
B2MZB1;P18834,col-14,2.174751668,NA,NA,NA,NA,1.01E-10,7.4,326
B2MZB2,,NA,-0.364796523,NA,NA,NA,8.04E-16,28.1,121
B2MZC3;Q93931;Q7JL05,nuaf-3,0.316689813,-0.065572312,NA,-0.36109457,-0.356819915,5.81E-70,30.9,220
B3CJ34,gcn-1,0.11500361,0.101010037,0.146355591,0.241134013,0.192958383,0,40.6,2680
C0P277;B3CKG1,urm-1,-0.071350804,-0.367035516,-0.286526343,NA,0.027866154,2.03E-07,14,100
Q8I7K5;B3GWA1;B3GWA0;Q95QI9,psf-1,-0.352532557,-0.726569678,-0.481505617,-0.409146506,-0.390667686,1.02E-73,42.5,374
B3GWA6;Q9U3R1;Q17801;Q86MD3,atf-7,-0.157302466,NA,NA,NA,-0.650488859,5.99E-56,9.9,373
B3GWB3,,NA,NA,NA,NA,NA,6.98E-11,10.7,150
O01258;B3GWB9,vps-26,-0.500802053,-0.083519749,0.358620445,0.54201705,0.670658222,2.27E-45,27.8,356
B3GWC0;Q19427,ndx-9,0.12735245,0.0859407,0.139061032,-0.202887833,0.130902449,3.33E-34,23.6,348
Q22234;B3GWC2,,NA,NA,NA,NA,NA,0.00045525,6.2,193
B3GWD4;O45268,,NA,NA,NA,NA,NA,9.97E-21,6.6,870
B3GWD5;O17610,cka-1,0.284018797,0.169777133,0.019506677,-0.01649632,-0.10272531,9.00E-64,19.4,448
B3KYC0;Q8WQA1,,-0.28368476,-0.005040617,0.017183437,0.168560497,-0.069014678,4.09E-45,21.4,524
B3WFT8,,-0.47134356,-0.013355059,0.144695945,0.167976876,0.255253332,9.06E-231,55.5,384
B3WFW4,,NA,NA,NA,NA,NA,7.10E-08,9.7,155
Q7YTF9;B3WFW5,,-0.086240276,-0.219091058,0.0819344,-0.066537002,-0.109159939,5.56E-82,14.9,619
B3WFW9,,NA,NA,NA,NA,NA,2.31E-133,64.9,171
B3WFX4;O17583,lin-10,NA,NA,NA,NA,NA,1.33E-06,1.6,931
B3WFX6;P90839,,NA,NA,NA,NA,NA,5.86E-12,9.3,621
B3WFY2;Q9XUM4,,NA,NA,NA,NA,NA,9.91E-33,7.8,538
B3WFY7;P90933,,0.332116955,NA,NA,-1.388740605,-1.687598239,1.57E-71,53.2,201
Q9XVC2;O45527;B3WFZ1,fbxa-133,NA,NA,NA,NA,NA,0.00040786,3.5,345
B3WFZ3;B3WFZ4,,-0.521955279,-0.061015775,-0.230571942,-0.514803986,NA,3.96E-119,38.7,432
B4DCT1,,NA,NA,NA,NA,2.557921717,2.05E-122,65.6,61
B4E3X6;G5EFG3,spds-1,0.324057641,0.140173536,-1.308826824,-1.739761711,-2.187799413,2.48E-100,42.3,366
B5BM26,,NA,NA,NA,NA,NA,4.07E-08,7.9,316
B5BM28;P24348;B5BM27,let-23,NA,-1.471811756,NA,NA,NA,1.02E-09,2.9,1262
B5BM32;Q9XVS7,nxf-1,-0.487486349,-0.141694362,-0.042924445,0.514305269,0.417424729,2.22E-80,22.5,609
B5BM33;E1B6U2;P90754-2;P90754,C27A7.1,-1.091259766,0.202289715,0.387147422,0.830588048,0.994585639,1.71E-36,14.1,766
B5BM35;O18696,pde-1,NA,NA,NA,NA,NA,2.40E-09,5.8,533
B5BM45,,NA,NA,0.477763423,NA,NA,3.06E-13,17.4,184
F1LIN5;Q9XTY6-4;Q9XTY6;B5BM46;Q9XTY6-3,num-1,NA,NA,NA,NA,NA,1.26E-34,12.5,535
Q9XTY7;B5BM47,,0.468191877,0.217323052,0.359342057,0.570721485,0.678141156,9.45E-186,40.3,578
B5D5N6;Q8WTK1,,-1.154842407,-0.343464676,NA,NA,-0.124328135,6.58E-19,16.5,425
B5QSI7;G5EEN4;F9UKV1,gck-3,0.164916733,0.015855466,-0.100708589,-0.038717108,-0.170309669,1.49E-102,24.1,439
Q7JM48;Q7JM45;Q7JM46;Q7JM42;Q22190;Q7JM43;Q7JM44;B5U8M2;B5U8M3;Q7JM47;Q8MPY1;G5ED62,sma-9,-0.041242982,-0.539729571,-1.069633432,-0.392537245,NA,6.22E-26,5.4,1692
B5U8N2,ret-1,-0.986811375,NA,0.867962829,NA,NA,0,70.6,494
B5U8N4,fbxa-82,NA,NA,NA,NA,NA,0.00053663,3.1,319
B5U8P1;O17727,,NA,NA,NA,NA,NA,2.25E-23,23.3,150
B5WWL2,,-1.08236197,0.121659167,0.0967303,0.144919248,0.234278564,2.69E-47,54.3,245
E1NZ12;B5WWM0;Q9XW27,,-0.220206113,NA,NA,NA,NA,2.48E-40,15.4,473
B6EU63;Q1ZXU4,,NA,NA,NA,NA,0.227742706,1.53E-20,10.1,734
B6EU64,dct-3,-2.108792062,NA,NA,NA,NA,2.43E-19,18.2,413
B6EU65,,0.414652832,NA,NA,NA,NA,3.06E-05,7.6,237
B6VQ32,orai-1,-0.572016513,NA,0.398075332,0.32914154,0.111211949,1.62E-10,21.8,197
Q21020;B6VQ41,,0.594290763,-0.157690514,-0.366140336,-0.592445077,-0.2880632,1.72E-57,33.7,520
B6VQ55;B6VQ56,ptr-24,0.094572077,0.948669666,0.034899138,-1.044813751,-0.955535998,9.62E-71,10.7,826
B6VQ60,brc-1,NA,NA,NA,NA,0.628184681,3.03E-55,4.9,612
B6VQ65,,NA,NA,NA,NA,NA,7.81E-05,21,62
B6VQ73;Q23162,lpr-6,-0.986811375,NA,NA,NA,NA,4.20E-60,28.7,265
D9PTN8;B7FAR9;Q9XWX8;Q8I4D3,,0.016628751,0.251916665,1.001530068,0.905736901,0.761579974,0,64.5,687
B7FAS0;B7FAS1,mcd-1,NA,NA,-1.146850696,NA,-0.144307467,7.96E-54,15,901
B7FAS6;B7FAS7,sam-10,NA,NA,NA,NA,NA,1.05E-28,9.2,455
Q7YTU4;B7FAS8;Q7YTU4-2,ero-1,-0.076969476,-0.028569152,-0.068602027,0.077528104,-0.240863823,3.31E-88,34.5,478
B7WN63,dic-1,-0.421802281,NA,-0.472487771,NA,0.025867208,1.00E-15,5.8,872
B7WN70;Q09356,T19H5.4,NA,NA,NA,NA,NA,1.55E-08,12.9,178
B7WN91;Q21524,,0.129844425,-0.479954832,-0.125254339,-0.133826527,0.076873644,7.12E-48,60,135
B7WN92;Q22467,ctg-2,0.29505723,-0.887993096,-0.819995103,-1.174853796,-1.280956314,3.09E-126,46.5,396
O62276;B7WNA2,,NA,NA,NA,NA,NA,0.00017797,4.3,445
B7WNB3;O18202,clec-146,-3.96476827,-0.258699816,2.625133007,3.006825642,3.355660069,2.82E-125,38.9,167
B7WNB4,,-0.497637911,NA,NA,NA,NA,7.91E-50,28.1,235
B9WRS6,tnt-3,0.35324748,-0.47612242,-1.133366243,-1.516922851,-1.08345167,9.89E-35,11.5,1167
