Uniprot ID,Gene Name,Log2 Ratio L/H AgWTD01.1,Log2 Ratio L/H AgWTD01.2,Log2 Ratio L/H AgWTD01.3,Log2 Ratio L/H AgWTD01.4,Log2 Ratio L/H AgWTD12.1,Log2 Ratio L/H AgWTD12.2,Log2 Ratio L/H AgWTD12.3,Log2 Ratio L/H AgWTD12.4,log abs.LFQ AgWTD01.1,log abs.LFQ AgWTD01.2,log abs.LFQ AgWTD01.3,log abs.LFQ AgWTD01.4,log abs.LFQ AgWTD12.1,log abs.LFQ AgWTD12.2,log abs.LFQ AgWTD12.3,log abs.LFQ AgWTD12.4,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgWTD01.1 Corrected,log abs.LFQ AgWTD01.2 Corrected,log abs.LFQ AgWTD01.3 Corrected,log abs.LFQ AgWTD01.4 Corrected,log abs.LFQ AgWTD12.1 Corrected,log abs.LFQ AgWTD12.2 Corrected,log abs.LFQ AgWTD12.3 Corrected,log abs.LFQ AgWTD12.4 Corrected
A5A8P8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35E-12,1.1,1594,NA,NA,NA,NA,NA,NA,NA,NA
A5A8Q1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00058639,11.9,84,NA,NA,NA,NA,NA,NA,NA,NA
A5A8Q6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.188562904,NA,NA,NA,5.86E-07,2.7,474,NA,NA,NA,NA,4.800724061,NA,NA,NA
O61843;A5A8Q9;B1V8A0;A5A8R0,unc-57,-0.416947805,NA,NA,NA,1.112568313,0.916943251,NA,NA,5.189630658,4.581870047,NA,NA,6.014226429,6.06325828,NA,NA,4.73E-213,50.1,377,4.7946924,4.281857592,NA,NA,5.626387586,5.562434261,NA,NA
A5A8R1;Q5ZR35;Q5ZR41;Q5ZR36;Q5ZR39;Q5ZR40;Q5ZR42,mec-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03E-11,3.6,954,NA,NA,NA,NA,NA,NA,NA,NA
A5A8R5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68E-12,25,128,NA,NA,NA,NA,NA,NA,NA,NA
A5HU97;O45160,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24E-170,50.5,200,NA,NA,NA,NA,NA,NA,NA,NA
A5HU98;P91425,guk-1,-2.175843923,-1.98935703,-1.903848112,NA,NA,0.226206173,0.098752709,0.232429944,5.462143337,5.485934264,5.046846204,NA,NA,6.506694403,5.368621544,5.882575762,2.72E-181,61,205,5.067205079,5.185921809,5.364811988,NA,NA,6.005870384,5.627549066,6.147644694
A5HWA5;Q9U2F1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51E-06,7.2,360,NA,NA,NA,NA,NA,NA,NA,NA
A5HWA6;A5HWA7;A5HWA8;Q9U289,efl-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54E-08,16.9,284,NA,NA,NA,NA,NA,NA,NA,NA
Q9NES9;A5HWB2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016727,10.1,129,NA,NA,NA,NA,NA,NA,NA,NA
A5JYR4,dab-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54E-110,22.4,492,NA,NA,NA,NA,NA,NA,NA,NA
A5JYR6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.096771017,NA,4.434121606,NA,5.325577232,NA,5.022098297,3.02E-32,41.5,142,NA,4.796758561,NA,5.13629573,NA,4.824753213,NA,5.287167229
A5JYS1;A5JYS0,pcs-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93E-32,18.7,418,NA,NA,NA,NA,NA,NA,NA,NA
Q5WRP6;A5JYS5;Q7JM28;Q18798,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84E-10,1.5,1301,NA,NA,NA,NA,NA,NA,NA,NA
C6KRJ4;A5JYS6;Q5CZ44,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00054704,10.3,107,NA,NA,NA,NA,NA,NA,NA,NA
Q19426-2;A5JYS7;Q19426,F13H10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13E-158,21.5,789,NA,NA,NA,NA,NA,NA,NA,NA
A5JYS8;Q19789,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12E-51,28.4,296,NA,NA,NA,NA,NA,NA,NA,NA
A5JYT2;Q17581,swsn-9,-0.591679417,-1.086919607,-0.898014819,-1.268853547,0.89298175,0.639152565,0.236724415,0.636279429,5.561769016,5.405943681,5.288182131,4.49140372,6.27074869,6.112672017,5.066400476,5.340166395,8.68E-143,25.9,582,5.166830757,5.105931225,5.606147914,5.193577845,5.882909847,5.611847998,5.325327998,5.605235327
A5JYT3;A5JYT4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20E-18,24.9,201,NA,NA,NA,NA,NA,NA,NA,NA
Q17813;A5JYT6,ugt-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80E-05,2.4,536,NA,NA,NA,NA,NA,NA,NA,NA
Q20130;A5JYT9;Q8WQF4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.057666104,NA,NA,1.25E-38,13.4,582,NA,NA,NA,NA,NA,4.556842085,NA,NA
A5JYU1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13E-47,53.3,90,NA,NA,NA,NA,NA,NA,NA,NA
A5JYU3;Q21798,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60E-43,16.4,483,NA,NA,NA,NA,NA,NA,NA,NA
O44199;A5JYU5,rad-50,-1.311503115,-1.820444496,NA,NA,0.659813764,0.669258048,0.719091183,0.423177987,4.506383251,4.227372442,3.63877869,NA,5.828066686,5.333205373,4.882205673,4.486926128,0,52,1298,4.111444992,3.927359987,3.956744474,NA,5.440227842,4.832381353,5.141133195,4.751995059
A5JYU7;A5JYU6,lmd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16E-05,12,142,NA,NA,NA,NA,NA,NA,NA,NA
A5JYW3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.715033451,NA,NA,8.07E-20,63.7,91,NA,NA,NA,NA,NA,5.214209431,NA,NA
O01319;A5JYW9,sin-3,-1.035483152,-0.825704232,NA,NA,0.864097444,0.494413897,0.8006763,0.649095461,4.694315573,5.380156952,3.548573662,NA,5.897660074,5.978737299,4.96736074,4.8440607,1.26E-193,27,1505,4.299377315,5.080144496,3.866539446,NA,5.509821231,5.47791328,5.226288262,5.109129631
P90947;A5JYX3,hmp-1,NA,NA,NA,NA,NA,0.362083767,0.748602047,NA,NA,4.393153865,3.540592225,NA,NA,5.725576803,5.059828382,NA,1.14E-136,27.2,927,NA,4.09314141,3.858558009,NA,NA,5.224752783,5.318755904,NA
A5JYX4;A5JYX5;A5JYX6,dhs-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62.5,307,NA,NA,NA,NA,NA,NA,NA,NA
A5JYX9,,NA,-1.677891557,NA,-2.217416858,1.514078619,2.574411793,1.582382385,1.401368007,4.773654821,5.053961507,4.025100961,4.421373558,6.975445595,6.763150855,5.915616137,5.774582652,2.74E-203,70.3,316,4.378716563,4.753949052,4.343066745,5.123547683,6.587606752,6.262326836,6.174543659,6.039651584
A5JYY6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000228,11.4,140,NA,NA,NA,NA,NA,NA,NA,NA
O62414;A5PEW5,ric-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09E-11,19.3,207,NA,NA,NA,NA,NA,NA,NA,NA
Q9XXN3;A5PEW7,T19A6.3;nepr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85E-07,13.6,140,NA,NA,NA,NA,NA,NA,NA,NA
A5PEX5;Q9U245,lin-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48E-37,37.8,209,NA,NA,NA,NA,NA,NA,NA,NA
Q9U207;A5PEX6;G2HK02;G2HK03,pqn-87,0.253842047,-0.051163253,0.117849996,0.337411656,1.057061428,0.861028298,0.928511894,0.843525717,5.849278107,5.745707026,4.670987603,4.466956545,6.22536098,6.088242434,5.60869715,5.523278113,5.67E-260,26,1456,5.454339849,5.445694571,4.988953387,5.16913067,5.837522137,5.587418414,5.867624673,5.788347044
A5PEY0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54E-65,32.6,181,NA,NA,NA,NA,NA,NA,NA,NA
Q8WQA3;A5PEY3,rpom-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.696924008,3.347369051,NA,NA,4.176785575,4.218876715,4.06807449,6.58E-42,12.1,1138,NA,3.396911553,3.665334835,NA,NA,3.675961556,4.477804237,4.333143422
A5Z2S2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85E-08,25.2,135,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2S3;O62263,,NA,NA,NA,NA,0.434831797,0.878798885,NA,NA,4.13497354,NA,NA,NA,4.230908519,3.987581364,NA,NA,4.79E-42,4.9,3563,3.740035282,NA,NA,NA,3.843069676,3.486757344,NA,NA
A5Z2S4;Q18696;B2D6K9,saps-1,0.821075064,0.617587282,0.98681648,0.527200328,0.578477756,0.379864062,0.305342634,0.195186458,6.276208967,6.264227348,5.631078321,5.19576132,6.276668562,6.027675716,5.208683161,5.133826214,5.48E-149,36.8,717,5.881270708,5.964214893,5.949044105,5.897935445,5.888829718,5.526851697,5.467610683,5.398895146
Q17513;A5Z2S5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-05,3,497,NA,NA,NA,NA,NA,NA,NA,NA
Q86D00;A5Z2S9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001134,23.6,55,NA,NA,NA,NA,NA,NA,NA,NA
Q20149;A5Z2T1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74E-07,6.4,218,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2T6;Q18960,,-0.706552654,-1.444189976,-1.206830737,NA,0.744052176,0.545655627,0.608078342,0.415941872,5.910709762,5.77591613,4.574991444,NA,6.505054966,6.420434365,5.729901493,5.481600265,7.40E-77,24.6,855,5.515771503,5.475903675,4.892957228,NA,6.117216122,5.919610345,5.988829015,5.746669196
A5Z2T7;Q23316,aph-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.092053606,NA,NA,7.85E-18,10.4,721,NA,NA,NA,NA,NA,4.591229587,NA,NA
A5Z2T9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02E-88,31.4,373,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2U4;O02217,rsa-1,-1.121479642,NA,-0.921436331,NA,1.238510466,0.167199081,NA,0.486509254,5.05376969,4.879703581,4.273996114,NA,6.061678615,5.371824907,4.58726185,4.576249182,2.83E-23,20,400,4.658831431,4.579691126,4.591961898,NA,5.673839772,4.871000888,4.846189372,4.841318114
A5Z2U5,,1.462554825,NA,NA,NA,NA,NA,NA,NA,5.142483324,4.958625989,NA,NA,NA,NA,NA,NA,7.02E-102,20.4,647,4.747545066,4.658613534,NA,NA,NA,NA,NA,NA
A5Z2U7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52E-135,60.6,127,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2U9,,-1.999891794,-2.170566057,NA,NA,NA,0.055951189,NA,0.166842732,5.913257387,5.968155937,NA,NA,6.087639468,6.881036397,5.597245305,6.150234359,1.53E-11,24,100,5.518319129,5.668143482,NA,NA,5.699800625,6.380212377,5.856172827,6.415303291
Q8I4J5;Q9XVN9;A5Z2V0;A5Z2V1,cids-2,0.677887252,0.220126766,NA,NA,0.447386844,NA,NA,NA,5.30317445,4.995700992,NA,NA,5.437940723,5.160528554,NA,NA,4.91E-49,12.5,656,4.908236192,4.695688537,NA,NA,5.05010188,4.659704535,NA,NA
A5Z2V2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73016834,NA,NA,NA,6.007449044,5.776265218,5.708276395,3.09E-25,22.4,98,NA,4.430155885,NA,NA,NA,5.506625025,6.03519274,5.973345326
Q564V0;Q95QM9;A5Z2V7,,NA,NA,NA,NA,-0.254835883,NA,0.547636512,1.216551727,4.989743401,NA,4.494891712,4.109477301,5.596663059,5.427356256,5.203386492,5.102570902,2.47E-70,14.7,387,4.594805143,NA,4.812857496,4.811651425,5.208824216,4.926532236,5.462314014,5.367639833
A5Z2W3,,-0.29207495,-0.774671112,-0.97019104,NA,NA,0.012082531,0.263473052,0.213838603,6.66622773,6.552668216,5.71279276,NA,NA,6.713549341,5.973368035,6.12264177,2.54E-55,24,225,6.271289472,6.252655761,6.030758543,NA,NA,6.212725322,6.232295557,6.387710701
A5Z2W4;O18052,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42E-09,12.3,220,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2W6;O46010,,NA,NA,NA,NA,0.726519917,NA,NA,NA,NA,NA,NA,NA,5.718933278,NA,NA,NA,6.73E-98,29.4,309,NA,NA,NA,NA,5.331094434,NA,NA,NA
A5Z2W7;O45637,,-0.859333509,NA,NA,NA,0.867015247,NA,NA,NA,5.76035462,NA,NA,NA,5.572825151,5.145879796,NA,NA,5.92E-14,41.7,108,5.365416361,NA,NA,NA,5.184986308,4.645055777,NA,NA
A5Z2X2,nuo-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20E-35,51.4,74,NA,NA,NA,NA,NA,NA,NA,NA
A6PVA1,,-0.654802126,NA,NA,NA,0.662825559,0.416827551,NA,NA,4.806173188,4.421669724,NA,3.982782133,5.41575771,4.992288354,3.923736078,NA,3.25E-126,40.3,538,4.41123493,4.121657269,NA,4.684956258,5.027918866,4.491464334,4.182663601,NA
A6PVA5;O16314,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.80E-66,37.7,199,NA,NA,NA,NA,NA,NA,NA,NA
Q8I4I4;Q20621;A6ZJ46,,-0.904195048,NA,NA,NA,0.985530439,0.903144456,NA,2.089021794,4.691364443,NA,4.156942685,3.390458181,5.826074803,5.757578212,4.699993732,4.970741932,6.84E-202,28.8,517,4.296426185,NA,4.474908469,4.092632305,5.438235959,5.256754193,4.958921254,5.235810864
A6ZJ62;Q20063,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55E-06,2.3,433,NA,NA,NA,NA,NA,NA,NA,NA
A7DT38;G5EEJ3,gpb5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15E-61,57.6,125,NA,NA,NA,NA,NA,NA,NA,NA
A7DT40,,NA,NA,NA,NA,NA,NA,NA,NA,5.120178938,4.774881766,4.666134059,NA,5.048325251,NA,NA,NA,1.07E-66,17.7,727,4.72524068,4.474869311,4.984099843,NA,4.660486407,NA,NA,NA
A7DT41,tag-296,-1.608383467,NA,NA,NA,NA,0.372038368,0.378606844,0.579275081,5.793329313,4.683713286,4.211601044,NA,NA,5.864985461,5.017867719,5.233478392,3.16E-73,39.9,281,5.398391055,4.383700831,4.529566828,NA,NA,5.364161441,5.276795241,5.498547324
A7DT45,oxy-5,NA,NA,NA,NA,NA,0.516800764,NA,NA,5.089375161,5.369827893,5.081167215,NA,4.978928813,5.76984977,4.849136754,4.778679321,3.30E-38,41.4,162,4.694436903,5.069815437,5.399132998,NA,4.591089969,5.269025751,5.108064276,5.043748252
A7DT48,,0.751489452,0.901715204,1.07975244,NA,0.770535127,0.428294069,NA,NA,6.031044717,5.744136452,5.090293331,NA,5.779776809,5.936820254,4.664529157,4.408121197,1.99E-90,35.2,406,5.636106458,5.444123997,5.408259115,NA,5.391937965,5.435996235,4.923456679,4.673190128
Q9XWW2;A7DTF0,mrg-1,-0.932665948,NA,-0.389787054,NA,1.264131271,0.837635259,0.282122916,0.435124352,5.712245519,4.713985877,4.130783915,NA,6.469026308,6.197776611,5.300225807,5.083610105,1.01E-117,38.2,335,5.317307261,4.413973422,4.448749698,NA,6.081187464,5.696952592,5.559153329,5.348679037
D3NQA3;A7DTF1;Q9XWR1,flh-1,-1.358565054,NA,NA,NA,1.429070819,1.142831122,NA,NA,5.219846386,4.432536383,NA,NA,6.531108331,6.293914741,NA,4.87008187,1.48E-72,25.7,501,4.824908128,4.132523928,NA,NA,6.143269488,5.793090722,NA,5.135150801
A7DTF2;G2HK04;Q95Q23;A7DTF3,obr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64E-148,24.6,842,NA,NA,NA,NA,NA,NA,NA,NA
A7DTF5;Q9U222,,0.419680824,-0.182438056,NA,NA,0.390396311,NA,NA,NA,5.283255987,4.924480876,NA,NA,5.346724509,4.624447117,NA,NA,1.45E-228,47.5,570,4.888317729,4.624468421,NA,NA,4.958885665,4.123623098,NA,NA
A7KQE9;G5EF03;A8DYS1;A8DYS0;A8DYS3,etr-1,-0.011209361,-1.146590058,NA,NA,0.723539067,NA,NA,NA,4.64615857,4.538196578,NA,3.591242743,5.265831566,5.122739993,NA,NA,4.64E-41,20.5,513,4.251220312,4.238184123,NA,4.293416867,4.877992723,4.621915974,NA,NA
A7LPD6;Q22096,igcm-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61E-55,10.2,591,NA,NA,NA,NA,NA,NA,NA,NA
