Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
A3QMC2;G5EFT4;A3QMC1,AP-1,0.308430103,-4.008092421,0.27888112,0.115894457,-4.311357792,0.0859407,0.378419294,-5.270827916,0.436998109,7.230985072,5.352670322,7.276967038,6.987268426,5.747911783,6.638619027,7.123296173,5.43135242,7.111934276,7.47E-195,36.7,608,7.19132032,5.668096923,7.154500788,7.209030875,5.979899084,6.747978202,7.150617597,5.740729671,7.032385484,-4.316522524,-4.427252249,-5.649247209,-4.427252249,4.647980256
A3QMC3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16E-06,16.8,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3QMC5,rpl-34,0.576023899,-2.292634528,-0.896930552,1.450005613,-1.75890009,0.292333862,0.268191147,-2.34386259,-1.54986628,7.520286975,6.608565703,7.158302169,7.421982125,6.639648059,7.024567757,7.024813933,6.352743768,6.844936701,2.10E-67,79.1,110,7.480622223,6.923992304,7.035835919,7.643744574,6.871635361,7.133926933,7.052135357,6.66212102,6.765387909,-2.868658427,-3.208905702,-2.612053737,-2.868658427,13.69139708
A3QMC6,erl-1,0.785178889,-3.808282071,0.514902969,-0.066123642,-4.142331743,-0.076422275,0.731901017,-4.071419456,0.756306549,6.82811185,6.404078831,6.904639821,6.320229397,5.011972173,6.003891166,6.840871084,5.352495839,7.007406352,1.16E-106,45.8,312,6.788447098,6.719505432,6.782173571,6.541991846,5.243959474,6.113250342,6.868192508,5.66187309,6.92785756,-4.59346096,-4.0762081,-4.803320473,-4.59346096,4.142194304
A3QMC8,tag-335,0.456959516,-2.686343643,0.307251445,0.694391292,-2.966301254,0.47148869,0.905277483,-2.752406071,0.344171932,6.341830057,5.591115717,6.622804428,6.629817196,5.393987045,6.391623078,7.007021926,5.45513981,6.520954909,5.69E-110,40.3,365,6.302165305,5.906542318,6.500338178,6.851579645,5.625974346,6.500982253,7.03434335,5.764517061,6.441406117,-3.143303159,-3.660692546,-3.657683554,-3.657683554,7.923691084
A3QMD7,lsy-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.578134723,NA,NA,NA,NA,6.731814314,NA,NA,NA,9.63E-14,25.1,247,5.538469971,NA,NA,NA,NA,6.84117349,NA,NA,NA,NA,NA,NA,NA,NA
A4F314,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09E-05,9.9,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4F325,,NA,NA,NA,NA,-0.958879786,NA,NA,NA,NA,NA,4.062995018,NA,NA,5.159285626,NA,NA,NA,NA,5.74E-36,9.8,388,NA,4.378421619,NA,NA,5.391272928,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4F329,fbxa-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16E-08,14.1,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4F333,fbxa-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38E-18,12.6,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4LBC1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07E-32,13.2,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4UVK2,,0.373084327,0.076523706,NA,1.019375073,0.157978591,-0.906967537,NA,0.275419573,NA,6.770962411,6.354438748,5.944166707,6.359664765,6.638712933,6.045088162,6.388367667,6.594601245,6.119354881,2.67E-92,45.3,234,6.731297659,6.669865349,5.821700456,6.581427215,6.870700235,6.154447337,6.415689092,6.903978497,6.039806089,-0.296560621,-0.861396482,NA,-0.578978551,66.9437581
A4UVK7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52E-12,5.5,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4UVL1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-49,16.8,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4UZ35,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99E-27,24.3,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5A8P5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.979662169,NA,7.104589527,6.688606671,NA,NA,6.988821951,NA,6.936287489,4.29E-74,36.6,112,6.939997417,NA,6.982123277,6.91036912,NA,NA,7.016143375,NA,6.856738697,NA,NA,NA,NA,NA
A5A8P8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35E-12,1.1,1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5A8Q1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00058639,11.9,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5A8Q6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86E-07,2.7,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O61843;A5A8Q9;B1V8A0;A5A8R0,unc-57,0.651699584,-3.306116388,0.552939262,0.035667913,-3.641083553,0.048516644,0.653355078,-3.512858954,0.642729524,6.63292272,5.436469709,6.754875592,6.351834943,5.061148518,6.561518774,6.64733406,5.144296904,7.104077206,4.73E-213,50.1,377,6.593257968,5.751896311,6.632409341,6.573597393,5.293135819,6.67087795,6.674655485,5.453674155,7.024528414,-3.957815972,-3.676751465,-4.166214033,-3.957815972,6.435446365
A5A8R1;Q5ZR35;Q5ZR41;Q5ZR36;Q5ZR39;Q5ZR40;Q5ZR42,mec-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03E-11,3.6,954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5A8R5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68E-12,25,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5HU97;O45160,,-0.516216908,NA,-0.387803665,-0.672561119,-2.895554683,-0.720366031,-0.172231469,-3.230279881,-0.220082261,7.525576007,3.3285251,7.503123072,7.002554808,5.724880073,7.2824635,7.451341171,5.429410089,7.571825249,1.24E-170,50.5,200,7.485911255,3.643951701,7.380656822,7.224317257,5.956867375,7.391822675,7.478662595,5.738787341,7.492276457,NA,-2.222993564,-3.058048412,-2.640520988,16.03703135
A5HU98;P91425,guk-1,0.393046168,-2.842918509,0.234719869,-0.605683963,-2.987902921,-0.301236441,0.226695659,-3.394102512,0.175126265,7.044696517,5.900048117,7.08350262,6.795831374,5.805714294,6.77818744,7.214711421,5.436318277,7.442996852,2.72E-181,61,205,7.005031765,6.215474718,6.96103637,7.017593823,6.037701596,6.887546616,7.242032846,5.745695528,7.36344806,-3.235964677,-2.382218958,-3.620798171,-3.235964677,10.61396295
A5HWA5;Q9U2F1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51E-06,7.2,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5HWA6;A5HWA7;A5HWA8;Q9U289,efl-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54E-08,16.9,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NES9;A5HWB2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00016727,10.1,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5JYR4,dab-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54E-110,22.4,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5JYR6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.129657673,NA,6.344824388,6.273996114,NA,6.579486346,6.444622429,NA,NA,3.02E-32,41.5,142,6.089992921,NA,6.222358138,6.495758563,NA,6.688845522,6.471943854,NA,NA,NA,NA,NA,NA,NA
A5JYS1;A5JYS0,pcs-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93E-32,18.7,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5WRP6;A5JYS5;Q7JM28;Q18798,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84E-10,1.5,1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6KRJ4;A5JYS6;Q5CZ44,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00054704,10.3,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q19426-2;A5JYS7;Q19426,F13H10.4,1.483097314,NA,0.430275607,0.69555905,NA,NA,0.768174406,NA,1.018644158,6.39359275,NA,6.370050237,5.708505881,4.527784182,5.93916968,6.276691529,4.407798547,6.415474168,1.13E-158,21.5,789,6.353927998,NA,6.247583987,5.93026833,4.759771484,6.048528855,6.304012953,4.717175799,6.335925376,NA,NA,NA,NA,NA
A5JYS8;Q19789,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12E-51,28.4,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5JYT2;Q17581,swsn-9,0.177881725,-2.289096702,0.143117861,-0.341074883,-2.124063396,0.285512679,0.276118206,-2.351091176,NA,6.029789471,5.366789015,5.98594265,5.227603936,5.154182326,6.015485498,5.716053452,5.217365346,5.194680813,8.68E-143,25.9,582,5.990124719,5.682215616,5.8634764,5.449366385,5.386169628,6.124844674,5.743374876,5.526742597,5.115132021,-2.466978428,-1.782988513,-2.627209382,-2.466978428,18.08695652
A5JYT3;A5JYT4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.765676004,NA,NA,NA,NA,NA,2.20E-18,24.9,201,NA,NA,NA,5.987438453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q17813;A5JYT6,ugt-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80E-05,2.4,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q20130;A5JYT9;Q8WQF4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25E-38,13.4,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5JYU1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13E-47,53.3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5JYU3;Q21798,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.148812851,NA,NA,NA,NA,NA,NA,NA,5.60E-43,16.4,483,NA,5.464239452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O44199;A5JYU5,rad-50,NA,NA,NA,NA,-1.315682151,-0.157173094,1.756720889,NA,0.44359511,5.265831566,3.929267875,NA,4.830601498,4.36034217,5.280031744,5.23484617,NA,5.17768076,0,52,1298,5.226166814,4.244694477,NA,5.052363948,4.592329472,5.38939092,5.262167594,NA,5.098131968,NA,NA,NA,NA,NA
A5JYU7;A5JYU6,lmd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16E-05,12,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5JYW3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.220003426,NA,NA,NA,NA,NA,NA,NA,NA,8.07E-20,63.7,91,6.180338674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O01319;A5JYW9,sin-3,0.235399064,-0.998267726,-0.948301812,NA,NA,NA,0.345142895,-1.201445671,-0.130535557,5.634698895,5.007563875,4.417488301,NA,4.644776653,4.432167269,5.419046577,5.209330008,5.35110026,1.26E-193,27,1505,5.595034143,5.322990476,4.29502205,NA,4.876763955,4.541526445,5.446368002,5.518707259,5.271551468,-1.233666791,NA,-1.546588566,-1.390127678,38.15310353
P90947;A5JYX3,hmp-1,0.439930735,NA,0.134002027,NA,NA,NA,NA,NA,NA,5.911892357,4.220774729,5.810104766,4.378343384,3.982742682,4.776744756,NA,NA,5.023087767,1.14E-136,27.2,927,5.872227605,4.53620133,5.687638515,4.600105833,4.214729984,4.886103932,NA,NA,4.943538975,NA,NA,NA,NA,NA
A5JYX4;A5JYX5;A5JYX6,dhs-3,1.546034735,-5.533719071,1.474933408,1.542122082,-2.34386259,1.48851172,1.524334004,-3.949441552,1.385789591,7.592698486,5.760944143,7.740773101,7.456806179,5.983215864,7.400727898,7.654157282,5.543549308,7.641692195,0,62.5,307,7.553033734,6.076370744,7.618306851,7.678568628,6.215203166,7.510087073,7.681478707,5.85292656,7.562143403,-7.079753806,-3.885984673,-5.473775556,-5.473775556,2.250242734
A5JYX9,,1.100267512,-1.054501216,0.786397644,0.803594393,NA,0.341372624,0.769846184,-1.337197281,0.702655956,6.656960183,6.145334114,6.753483474,6.311202699,4.876896656,6.369457065,6.826703103,5.936365453,6.491277629,2.74E-203,70.3,316,6.617295431,6.460760715,6.631017224,6.532965148,5.108883958,6.478816241,6.854024527,6.245742705,6.411728837,-2.154768728,NA,-2.107043466,-2.130906097,22.83144227
A5JYY6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000228,11.4,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O62414;A5PEW5,ric-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.235275877,NA,6.112001395,5.666901563,NA,NA,NA,NA,NA,1.09E-11,19.3,207,6.195611125,NA,5.989535145,5.888664012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9XXN3;A5PEW7,T19A6.3;nepr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85E-07,13.6,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5PEX5;Q9U245,lin-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48E-37,37.8,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9U207;A5PEX6;G2HK02;G2HK03,pqn-87,0.922948461,-1.393910378,0.068695156,0.312025596,-1.468479053,NA,0.510580377,-1.906621267,0.569714727,5.787899506,4.949873788,6.078855403,5.39726198,4.649572034,5.057285644,5.990538638,5.084374241,5.797703694,5.67E-260,26,1456,5.748234754,5.265300389,5.956389153,5.619024429,4.881559336,5.16664482,6.017860062,5.393751493,5.718154902,-2.316858839,-1.780504649,-2.417201644,-2.316858839,20.07039842
A5PEY0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54E-65,32.6,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WQA3;A5PEY3,rpom-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.940182667,3.905738097,5.179350682,NA,NA,NA,NA,4.261248167,5.091948191,6.58E-42,12.1,1138,4.900517915,4.221164698,5.056884432,NA,NA,NA,NA,4.570625418,5.012399399,NA,NA,NA,NA,NA
A5Z2S2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85E-08,25.2,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2S3;O62263,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.932251395,4.989596634,4.79E-42,4.9,3563,NA,NA,NA,NA,NA,NA,NA,4.241628647,4.910047842,NA,NA,NA,NA,NA
A5Z2S4;Q18696;B2D6K9,saps-1,0.501054763,-2.538438835,-0.082838815,-0.022900402,-2.04082231,0.037576837,0.979401794,-1.206518202,0.479411804,6.331649955,5.167927105,6.024239306,5.527604126,5.133983773,5.748234556,6.153570981,5.18766086,6.169586273,5.48E-149,36.8,717,6.291985202,5.483353706,5.901773056,5.749366575,5.365971075,5.857593732,6.180892406,5.497038112,6.090037481,-3.039493598,-2.017921908,-2.185919996,-2.185919996,21.97720773
Q17513;A5Z2S5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-05,3,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86D00;A5Z2S9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001134,23.6,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q20149;A5Z2T1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74E-07,6.4,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5Z2T6;Q18960,,0.107601202,NA,-0.551392968,NA,-0.964065877,NA,0.478044721,-0.995014096,-0.492929907,5.891063322,5.000019295,5.782020895,5.181500588,5.303390228,NA,5.623662707,5.466230001,5.468435953,7.40E-77,24.6,855,5.85139857,5.315445896,5.659554645,5.403263038,5.53537753,NA,5.650984132,5.775607252,5.388887161,NA,NA,-1.473058817,-1.473058817,36.02177512
A5Z2T7;Q23316,aph-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.923139903,NA,NA,NA,NA,6.51444149,NA,NA,7.85E-18,10.4,721,NA,5.238566504,NA,NA,NA,NA,6.541762915,NA,NA,NA,NA,NA,NA,NA
A5Z2T9,,0.232819823,NA,0.6628484,NA,NA,NA,NA,NA,NA,5.723628042,NA,5.959213167,NA,5.583520344,NA,NA,5.557062222,5.811568304,1.02E-88,31.4,373,5.68396329,NA,5.836746917,NA,5.815507646,NA,NA,5.866439474,5.732019512,NA,NA,NA,NA,NA
A5Z2U4;O02217,rsa-1,0.889476392,NA,NA,NA,NA,NA,NA,NA,NA,5.850505327,4.641719984,5.164352856,NA,NA,NA,5.411872129,NA,5.473370169,2.83E-23,20,400,5.810840575,4.957146585,5.041886606,NA,NA,NA,5.439193554,NA,5.393821377,NA,NA,NA,NA,NA
A5Z2U5,,NA,NA,NA,NA,3.668097623,NA,NA,NA,NA,NA,NA,NA,5.486302935,7.688693313,NA,NA,5.437867967,NA,7.02E-102,20.4,647,NA,NA,NA,5.708065384,7.920680615,NA,NA,5.747245218,NA,NA,NA,NA,NA,NA
