orf,disome,disome_ID,ratio
YBR214W,399,YBR214W_399,7.117582387
YBR216C,651,YBR216C_651,2.332097765
YBR217W,187,YBR217W_187,67.66666667
YBR218C,126,YBR218C_126,12.87379924
YBR220C,360,YBR220C_360,50.66666667
YBR221C,142,YBR221C_142,3.658702648
YBR222C,356,YBR222C_356,13.52149441
YBR225W,176,YBR225W_176,11.51979566
YBR227C,20,YBR227C_20,25.04722222
YBR228W,268,YBR228W_268,19.33333333
YBR229C,367,YBR229C_367,19.92646315
YBR230C,43,YBR230C_43,5.925095765
YBR230W-A,35,YBR230W-A_35,29.59259259
YBR231C,215,YBR231C_215,7.057940538
YBR233W,92,YBR233W_92,9.311515152
YBR234C,198,YBR234C_198,7.278867532
YBR237W,91,YBR237W_91,30.83973553
YBR238C,336,YBR238C_336,102.6666667
YBR242W,224,YBR242W_224,13.09891206
YBR243C,103,YBR243C_103,6.625813864
YBR244W,163,YBR244W_163,5.805194805
YBR245C,490,YBR245C_490,10.1475395
YBR246W,190,YBR246W_190,5.646318847
YBR247C,257,YBR247C_257,11.90932885
YBR248C,123,YBR248C_123,2.085119961
YBR249C,127,YBR249C_127,5.256671114
YBR251W,108,YBR251W_108,3.036832733
YBR252W,118,YBR252W_118,10.8658725
YBR255C-A,121,YBR255C-A_121,3.75
YBR255W,406,YBR255W_406,68.66666667
YBR256C,76,YBR256C_76,9.159253945
YBR257W,235,YBR257W_235,9.273504274
YBR259W,149,YBR259W_149,31.2962963
YBR260C,667,YBR260C_667,36.43063927
YBR261C,186,YBR261C_186,12.12962832
YBR262C,44,YBR262C_44,11.25544123
YBR263W,360,YBR263W_360,5.672284724
YBR264C,72,YBR264C_72,71.94771242
YBR265W,315,YBR265W_315,14.04576618
YBR267W,309,YBR267W_309,7.907553736
YBR271W,30,YBR271W_30,8.782351264
YBR272C,62,YBR272C_62,5.524775118
YBR273C,255,YBR273C_255,7.455921948
YBR274W,259,YBR274W_259,9.029595016
YBR275C,723,YBR275C_723,36.32626686
YBR279W,105,YBR279W_105,9.397603856
YBR281C,632,YBR281C_632,3.122191312
YBR282W,110,YBR282W_110,4.080238444
YBR283C,289,YBR283C_289,6.374276815
YBR284W,103,YBR284W_103,12.95238095
YBR286W,305,YBR286W_305,7.716394165
YBR287W,189,YBR287W_189,6.409251287
YBR288C,472,YBR288C_472,14.89674367
YBR289W,346,YBR289W_346,62.57535232
YBR291C,166,YBR291C_166,6.533333333
YBR296C,575,YBR296C_575,6.481481481
YCL001W,41,YCL001W_41,3.479904639
YCL005W,251,YCL005W_251,26.66666667
YCL005W-A,74,YCL005W-A_74,10.74453552
YCL008C,374,YCL008C_374,89.30033417
YCL009C,310,YCL009C_310,173.1418212
YCL010C,186,YCL010C_186,4.48968912
YCL011C,76,YCL011C_76,4.759004893
YCL012C,32,YCL012C_32,3.925853957
YCL014W,941,YCL014W_941,10.73257772
YCL016C,368,YCL016C_368,21.23115853
YCL017C,479,YCL017C_479,20.76042282
YCL025C,391,YCL025C_391,69.77777778
YCL026C-B,179,YCL026C-B_179,11.86726491
YCL027W,51,YCL027W_51,16.61538462
YCL028W,382,YCL028W_382,8.968919897
YCL029C,264,YCL029C_264,8.039754497
YCL030C,200,YCL030C_200,2.900472815
YCL031C,21,YCL031C_21,2.809281381
YCL033C,71,YCL033C_71,4.517981745
YCL034W,175,YCL034W_175,59.34014216
YCL035C,86,YCL035C_86,8.300047103
YCL036W,273,YCL036W_273,8.304020752
YCL037C,65,YCL037C_65,19.70067867
YCL038C,123,YCL038C_123,56.66666667
YCL040W,88,YCL040W_88,4.391151872
YCL043C,409,YCL043C_409,5.807345972
YCL044C,52,YCL044C_52,6.641034564
YCL045C,267,YCL045C_267,52.4417763
YCL047C,259,YCL047C_259,57.24137931
YCL049C,217,YCL049C_217,44.66666667
YCL050C,166,YCL050C_166,2.90512294
YCL052C,285,YCL052C_285,13.68888889
YCL054W,745,YCL054W_745,8.752333895
YCL055W,305,YCL055W_305,4.955675554
YCL057C-A,74,YCL057C-A_74,110.5179391
YCL057W,414,YCL057W_414,9.566533592
YCL059C,235,YCL059C_235,6.157971404
YCL064C,99,YCL064C_99,16.88467472
YCR002C,140,YCR002C_140,10.27396044
YCR003W,85,YCR003W_85,2.863240112
YCR004C,167,YCR004C_167,4.456977107
YCR005C,392,YCR005C_392,15.87255863
YCR007C,172,YCR007C_172,12
YCR008W,574,YCR008W_574,79.04761905
YCR009C,266,YCR009C_266,12.44970595
YCR012W,337,YCR012W_337,4.272834596
YCR016W,80,YCR016W_80,4.326473937
YCR017C,165,YCR017C_165,20.72704277
YCR018C,165,YCR018C_165,8.666666667
YCR019W,41,YCR019W_41,7.950206377
YCR023C,205,YCR023C_205,24
YCR024C,52,YCR024C_52,23
YCR026C,259,YCR026C_259,5.485880077
YCR027C,118,YCR027C_118,7.771851852
YCR028C,443,YCR028C_443,20.32222222
YCR028C-A,90,YCR028C-A_90,11.41432024
YCR031C,128,YCR031C_128,58.77689988
YCR032W,1003,YCR032W_1003,27.9973262
YCR033W,328,YCR033W_328,73.84615385
YCR034W,222,YCR034W_222,2.658678987
YCR035C,282,YCR035C_282,24.18653199
YCR036W,50,YCR036W_50,4.010386509
YCR037C,135,YCR037C_135,15.67996201
YCR042C,1143,YCR042C_1143,18.53622378
YCR044C,288,YCR044C_288,2.01396722
YCR046C,59,YCR046C_59,15.93589744
YCR047C,46,YCR047C_46,2.062134195
YCR048W,104,YCR048W_104,25.65937443
YCR051W,73,YCR051W_73,2.700909364
YCR052W,134,YCR052W_134,5.955268543
YCR053W,484,YCR053W_484,13.13280452
YCR054C,550,YCR054C_550,6.422271729
YCR057C,807,YCR057C_807,8.794086409
YCR059C,49,YCR059C_49,6.453514112
YCR060W,66,YCR060W_66,2.515000205
YCR061W,482,YCR061W_482,12.4375
YCR063W,127,YCR063W_127,48
YCR065W,429,YCR065W_429,5.514063869
YCR066W,473,YCR066W_473,92.37634409
YCR071C,63,YCR071C_63,102.6666667
YCR072C,220,YCR072C_220,14.38675633
YCR073W-A,305,YCR073W-A_305,7.108600421
YCR075W-A,70,YCR075W-A_70,20.57142857
YCR076C,183,YCR076C_183,10.13119282
YCR077C,537,YCR077C_537,20.11866304
YCR081W,1381,YCR081W_1381,9.406731113
YCR082W,35,YCR082W_35,22.66459466
YCR083W,113,YCR083W_113,8.339453284
YCR084C,99,YCR084C_99,4.191956598
YCR087C-A,97,YCR087C-A_97,11.22052656
YCR088W,519,YCR088W_519,13.57694089
YCR090C,183,YCR090C_183,47.06031746
YCR092C,916,YCR092C_916,14.68213075
YCR093W,941,YCR093W_941,5.72234045
YCR094W,62,YCR094W_62,7.768888889
YCR097W,127,YCR097W_127,22.86149551
YDL001W,106,YDL001W_106,22.44444444
YDL002C,79,YDL002C_79,15.2870645
YDL004W,161,YDL004W_161,20.88328674
YDL005C,185,YDL005C_185,3.781895784
YDL006W,152,YDL006W_152,9.890488036
YDL007W,36,YDL007W_36,6.154940426
YDL008W,76,YDL008W_76,41.25747126
YDL012C,94,YDL012C_94,16.18914585
YDL013W,614,YDL013W_614,9.556400507
YDL014W,204,YDL014W_204,2.534309602
YDL017W,129,YDL017W_129,14.35185185
YDL018C,32,YDL018C_32,31.21428571
YDL019C,297,YDL019C_297,7.923865609
YDL020C,149,YDL020C_149,85.2307987
YDL021W,137,YDL021W_137,15.31623932
YDL022W,226,YDL022W_226,10.76469456
YDL025C,235,YDL025C_235,21.88888889
YDL027C,220,YDL027C_220,12.6
YDL029W,120,YDL029W_120,24.23968123
YDL030W,50,YDL030W_50,41.58095238
YDL035C,164,YDL035C_164,49.62962963
YDL036C,125,YDL036C_125,9.392373924
YDL040C,515,YDL040C_515,17.72547604
YDL042C,202,YDL042C_202,4.694993184
YDL043C,40,YDL043C_40,3.125083089
YDL044C,441,YDL044C_441,31.68181818
YDL045C,127,YDL045C_127,45.29090909
YDL045W-A,87,YDL045W-A_87,7.014198783
YDL046W,144,YDL046W_144,19.13816887
YDL047W,205,YDL047W_205,4.045747849
YDL051W,241,YDL051W_241,17.95987362
YDL052C,97,YDL052C_97,3.203069993
YDL053C,160,YDL053C_160,2.883610877
YDL054C,63,YDL054C_63,22.28571429
YDL055C,221,YDL055C_221,5.05746342
YDL056W,29,YDL056W_29,11.07496013
YDL057W,191,YDL057W_191,9.621103118
YDL058W,1762,YDL058W_1762,7.474154186
YDL059C,66,YDL059C_66,26
YDL060W,783,YDL060W_783,18.9202004
YDL061C,45,YDL061C_45,34.99451342
YDL063C,314,YDL063C_314,115.1944444
YDL064W,30,YDL064W_30,2.561516119
YDL065C,229,YDL065C_229,4.385460932
YDL066W,44,YDL066W_44,37.75594969
YDL069C,13,YDL069C_13,3.245833333
YDL070W,300,YDL070W_300,11.59311539
YDL072C,204,YDL072C_204,2.332083598
YDL074C,39,YDL074C_39,3.132182753
YDL075W,61,YDL075W_61,3.326227602
YDL076C,95,YDL076C_95,4.20610373
YDL077C,430,YDL077C_430,2.754590395
YDL078C,83,YDL078C_83,8.994723962
YDL080C,214,YDL080C_214,42.5
YDL081C,103,YDL081C_103,52.05951675
YDL083C,52,YDL083C_52,6.93548911
YDL084W,168,YDL084W_168,6.506108839
YDL085C-A,69,YDL085C-A_69,20.88888889
YDL086W,37,YDL086W_37,10.60934113
YDL088C,471,YDL088C_471,18.39077368
YDL089W,280,YDL089W_280,16.07843137
YDL090C,106,YDL090C_106,16.30957999
YDL092W,81,YDL092W_81,15.26265891
YDL093W,585,YDL093W_585,28.125
YDL095W,712,YDL095W_712,9.409954224
YDL097C,188,YDL097C_188,12.16398692
YDL098C,126,YDL098C_126,25.48888889
YDL099W,303,YDL099W_303,8.193136757
YDL100C,67,YDL100C_67,15.16920411
YDL101C,447,YDL101C_447,6.755934825
YDL102W,917,YDL102W_917,10.04367023
YDL103C,355,YDL103C_355,3.98053201
YDL106C,210,YDL106C_210,11.42741681
YDL107W,25,YDL107W_25,5.111111111
YDL108W,51,YDL108W_51,25.32821549
YDL110C,143,YDL110C_143,15.27135854
YDL111C,260,YDL111C_260,24.57279963
YDL112W,1297,YDL112W_1297,12.90672997
YDL113C,77,YDL113C_77,2.810581936
YDL115C,340,YDL115C_340,16.88460715
YDL116W,459,YDL116W_459,18.87063172
YDL117W,113,YDL117W_113,11.11828563
YDL119C,122,YDL119C_122,24.88888889
YDL120W,126,YDL120W_126,45.56541015
YDL121C,116,YDL121C_116,7.385714286
YDL122W,177,YDL122W_177,6.384927154
YDL124W,53,YDL124W_53,3.570664809
YDL125C,82,YDL125C_82,4.075870733
YDL126C,324,YDL126C_324,19.2444098
YDL127W,37,YDL127W_37,6.696969697
YDL128W,50,YDL128W_50,4.440887004
YDL129W,290,YDL129W_290,123.3333333
YDL130W-A,33,YDL130W-A_33,4.202704602
YDL132W,677,YDL132W_677,174.6573842
YDL133W,80,YDL133W_80,13.82808023
YDL134C,267,YDL134C_267,2.7732042
YDL135C,124,YDL135C_124,6.33526108
YDL137W,69,YDL137W_69,2.514605342
YDL140C,329,YDL140C_329,4.821897249
YDL141W,272,YDL141W_272,14.03763583
YDL142C,177,YDL142C_177,44.82051282
YDL143W,447,YDL143W_447,15.11192509
YDL144C,213,YDL144C_213,10.07725152
YDL145C,676,YDL145C_676,11.30613236
YDL147W,89,YDL147W_89,3.400839741
YDL148C,226,YDL148C_226,27.56146331
YDL150W,344,YDL150W_344,80.0186318
YDL153C,576,YDL153C_576,33.92494143
YDL155W,185,YDL155W_185,27.11111111
YDL157C,51,YDL157C_51,5.272043059
YDL160C,499,YDL160C_499,7.966204764
YDL160C-A,81,YDL160C-A_81,19.6
YDL161W,387,YDL161W_387,5.581736158
YDL164C,494,YDL164C_494,27.82630907
YDL166C,121,YDL166C_121,4.512366689
YDL167C,420,YDL167C_420,3.430095329
YDL168W,325,YDL168W_325,5.185196003
YDL170W,88,YDL170W_88,6.103703704
YDL171C,57,YDL171C_57,11.02893494
YDL173W,124,YDL173W_124,4.047457111
YDL174C,247,YDL174C_247,11.27833333
YDL175C,118,YDL175C_118,22.11193237
YDL177C,144,YDL177C_144,13.86666667
YDL178W,195,YDL178W_195,5.600478469
YDL179W,47,YDL179W_47,13.55141408
YDL181W,72,YDL181W_72,7.967752235
YDL185W,399,YDL185W_399,8.040114888
YDL188C,275,YDL188C_275,2.381180375
YDL189W,416,YDL189W_416,34.53219887
YDL190C,37,YDL190C_37,6.943917214
YDL192W,69,YDL192W_69,3.889792769
YDL193W,337,YDL193W_337,6.029857465
YDL195W,260,YDL195W_260,7.143897336
YDL198C,95,YDL198C_95,20.53099415
YDL201W,189,YDL201W_189,14.14676113
YDL202W,120,YDL202W_120,8.619148802
YDL205C,199,YDL205C_199,7.9377601
YDL207W,290,YDL207W_290,9.541405848
YDL208W,134,YDL208W_134,187.3610304
YDL209C,340,YDL209C_340,9.165432099
YDL212W,51,YDL212W_51,3.767479969
YDL213C,226,YDL213C_226,67.09090909
YDL215C,83,YDL215C_83,3.230364607
YDL216C,164,YDL216C_164,7.333333333
YDL217C,208,YDL217C_208,4.916600654
YDL219W,33,YDL219W_33,9.333616918
YDL224C,481,YDL224C_481,98.61697723
YDL225W,174,YDL225W_174,6.853762713
YDL226C,322,YDL226C_322,4.007524591
YDL227C,342,YDL227C_342,123.6664175
YDL229W,614,YDL229W_614,14.49650354
YDL230W,113,YDL230W_113,24.03846154
YDL233W,41,YDL233W_41,38.66666667
YDL234C,109,YDL234C_109,14.42738591
YDL235C,47,YDL235C_47,3.91842793
YDL236W,300,YDL236W_300,16.70520409
YDL237W,287,YDL237W_287,8.160955328
YDR001C,127,YDR001C_127,3.475127015
YDR002W,187,YDR002W_187,4.728866996
YDR003W,190,YDR003W_190,7.466404458
YDR005C,331,YDR005C_331,12.99757218
YDR006C,513,YDR006C_513,5.786933884
YDR007W,150,YDR007W_150,8.125054545
YDR012W,363,YDR012W_363,20.17833059
YDR016C,95,YDR016C_95,142.3333333
YDR017C,253,YDR017C_253,13.3686193
YDR019C,313,YDR019C_313,5.200963013
YDR020C,27,YDR020C_27,87.33333333
YDR021W,277,YDR021W_277,5.558665769
YDR023W,169,YDR023W_169,58.00726231
YDR025W,35,YDR025W_35,3.015780616
YDR026C,338,YDR026C_338,21.80555556
YDR027C,890,YDR027C_890,14.86627818
YDR028C,183,YDR028C_183,86
YDR032C,30,YDR032C_30,2.293760145
YDR033W,128,YDR033W_128,11.42519108
YDR034C,228,YDR034C_228,29.92684621
YDR035W,163,YDR035W_163,7.107630388
YDR036C,149,YDR036C_149,13.56973897
YDR037W,449,YDR037W_449,15.2403128
YDR040C,749,YDR040C_749,12
YDR041W,25,YDR041W_25,17.23188406
YDR043C,218,YDR043C_218,35.0952381
YDR044W,53,YDR044W_53,12.4082179
YDR045C,44,YDR045C_44,7.248704971
YDR046C,488,YDR046C_488,3.301183045
YDR047W,305,YDR047W_305,15.36983313
YDR049W,204,YDR049W_204,9.799152689
YDR050C,207,YDR050C_207,8.801732886
YDR051C,324,YDR051C_324,8.255528369
YDR052C,68,YDR052C_68,32.08333333
YDR054C,74,YDR054C_74,4.244932071
YDR055W,55,YDR055W_55,9.608261656
YDR056C,38,YDR056C_38,37.90466743
YDR059C,18,YDR059C_18,36.96261682
