C42C1.11a.1,WBGene00016589
Y38A10A.5.1,WBGene00000802
ZK637.5,WBGene00014025
R08D7.2.1,WBGene00011143
B0303.3.1,WBGene00015125
C02F5.3,WBGene00015346
F02A9.3.1,WBGene00001386
F44B9.8,WBGene00018409
F44E2.8,WBGene00018421
F54F2.1,WBGene00003929
F58A4.4a,WBGene00004180
K03H1.4.1,WBGene00010539
K03H1.5,WBGene00010540
K12H4.8.1,WBGene00000939
R05D3.7,WBGene00006840
R05D3.11,WBGene00019883
R10E11.2,WBGene00006911
T05G5.7a.1,WBGene00011501
T20G5.2,WBGene00000833
ZK632.1a,WBGene00003158
ZK652.4.1,WBGene00004449
T04A8.14,WBGene00001259
F10C2.2,WBGene00002241
C02C6.1b,WBGene00001130
T20B12.7,WBGene00020604
T20B12.8.1,WBGene00001974
M117.2a.1,WBGene00003920
T05C12.7,WBGene00000377
T09A5.9,WBGene00011637
T09A5.10.1,WBGene00002994
F23F12.6.1,WBGene00004503
F01F1.8a.1,WBGene00000381
C18C4.10b.1,WBGene00002215
T21B10.7.1,WBGene00000378
K01C8.10.1,WBGene00000379
R151.3.1,WBGene00004417
F42C5.8a,WBGene00004477
R09B3.5,WBGene00003123
F54E7.2.1,WBGene00004481
F08C6.2a,WBGene00017241
T19C3.8.1,WBGene00001412
F42G9.1a,WBGene00018362
ZK1010.1,WBGene00006728
C06E7.3a.1,WBGene00015540
F14D12.2.1,WBGene00006826
Y49A3A.5,WBGene00000877
Y75B12B.5,WBGene00000879
F59E10.2,WBGene00000880
F21C3.5,WBGene00009004
T24H10.1,WBGene00012000
F41C3.5.1,WBGene00018271
K02B2.5.1,WBGene00004494
T05H10.6b,WBGene00011510
F31E3.5.1,WBGene00001168
F31E3.3,WBGene00004340
K07C5.1,WBGene00000200
C05G5.4.1,WBGene00007350
F17C11.9a.1,WBGene00008920
K02A4.1,WBGene00001149
B0035.9,WBGene00001920
B0365.1,WBGene00007150
C55A6.9,WBGene00008338
F10C2.4,WBGene00008645
F26E4.3.1,WBGene00009158
F39H11.5,WBGene00003953
K05B2.3,WBGene00002052
K07A1.12,WBGene00003036
B0547.1,WBGene00000817
C50F2.3,WBGene00016837
F08D12.1,WBGene00017245
F26B1.3,WBGene00002073
F26B1.2a,WBGene00017816
F46F11.5.1,WBGene00006919
F55F8.5.1,WBGene00018893
F56A3.4.1,WBGene00004955
F56A3.3a.1,WBGene00003792
K11H12.2,WBGene00004427
M01E11.5.1,WBGene00000474
M01E11.6.1,WBGene00002225
T03F1.3,WBGene00020185
T23H2.3,WBGene00020742
T27A3.2,WBGene00020839
Y37E3.7.1,WBGene00004409
W08E3.3a.1,WBGene00012344
F53F1.2.1,WBGene00009980
C10H11.9,WBGene00002694
ZK370.8,WBGene00022722
ZC101.2e,WBGene00006787
F13G11.3,WBGene00045038
C32A3.2,WBGene00007859
C45G9.5,WBGene00016676
EEED8.1.1,WBGene00017132
K10D2.3,WBGene00019629
R07G3.5,WBGene00019941
B0495.4,WBGene00003730
C32D5.8b,WBGene00016316
C03G5.1,WBGene00015391
D2013.9.1,WBGene00008405
F48E8.5.1,WBGene00003901
F42A8.2.1,WBGene00006433
K10D2.6.1,WBGene00001262
M106.1,WBGene00003367
R06F6.9.1,WBGene00001153
C17G10.2,WBGene00015916
C17G10.8,WBGene00000970
H15N14.2a,WBGene00003818
F35D11.11b,WBGene00018051
F40F8.11a.1,WBGene00044916
T10F2.1a,WBGene00001744
T10F2.4,WBGene00020423
F45E1.6,WBGene00001945
C05D11.12.1,WBGene00002855
H24K24.3b,WBGene00019240
Y56A3A.20,WBGene00000369
Y108G3AL.1a.1,WBGene00000838
C01G5.5,WBGene00015307
C04C11.2.1,WBGene00007296
C04C11.1a.1,WBGene00007295
W01B6.9,WBGene00003576
C06G3.9.1,WBGene00015555
C09H10.3,WBGene00003831
C09H10.6,WBGene00007500
C12D8.10b.1,WBGene00000102
C14B1.4.1,WBGene00006474
C14F11.1a.1,WBGene00015778
C16A3.4.1,WBGene00015809
C18A11.7a,WBGene00001000
C18B2.4,WBGene00015955
C25A8.4,WBGene00016084
C30B5.4,WBGene00016245
C33H5.9,WBGene00016376
C39E9.13,WBGene00004339
C47E12.1.1,WBGene00005663
C47E8.7.1,WBGene00006836
C54C6.2,WBGene00000248
C54D1.5,WBGene00016913
Y38C9A.2a.1,WBGene00000480
D1005.3.1,WBGene00016997
D1054.10,WBGene00008377
D1054.11,WBGene00008378
D2045.2.1,WBGene00008422
D2096.8,WBGene00017075
T21E12.4a.1,WBGene00000962
E04F6.5a.1,WBGene00017125
E04F6.8,WBGene00017127
F07A11.2a.1,WBGene00008546
F07A11.3,WBGene00003791
F09E5.3,WBGene00017283
F10G7.3,WBGene00006817
F10G7.1.1,WBGene00006497
F12F6.7.1,WBGene00008722
F12F6.6,WBGene00004755
F18E2.2,WBGene00006512
F18E2.3,WBGene00004738
F18H3.3a.1,WBGene00003903
F19B6.2a.1,WBGene00006733
F20D12.4.1,WBGene00017643
F21C10.7,WBGene00017657
F21D5.1,WBGene00009006
F22B3.4.1,WBGene00009035
F22B5.9,WBGene00001498
F22D6.6,WBGene00009052
F23B12.5.1,WBGene00009082
F25D1.1a,WBGene00006460
F25E2.4,WBGene00002058
F28B4.3.1,WBGene00017892
F28C6.7a,WBGene00004440
F29F11.1,WBGene00005022
F35D11.4.1,WBGene00018045
F35G12.8.1,WBGene00004874
F38E11.5,WBGene00009542
F40F4.6b,WBGene00018237
F40F4.2.1,WBGene00002254
F41C3.3.1,WBGene00018269
F42A10.1.1,WBGene00018339
F43D9.4,WBGene00004798
F46B6.7.1,WBGene00009772
F49C12.8,WBGene00004463
F52B10.1,WBGene00003776
F52B5.3,WBGene00009922
F52D10.3a.1,WBGene00001502
F52E1.7a.1,WBGene00002021
F54B3.3.1,WBGene00010015
F54D8.3a.1,WBGene00000107
F54F7.3,WBGene00010065
F55C5.4,WBGene00010093
F55G1.4.1,WBGene00018900
F59A2.1b.1,WBGene00003795
F59G1.3.1,WBGene00006933
M6.1b,WBGene00002056
K04D7.1.1,WBGene00010556
K04D7.3a,WBGene00001794
K04G2.1.1,WBGene00010560
K07E3.4a,WBGene00019492
K08E4.1.1,WBGene00005015
K08F4.2,WBGene00010677
K10B3.10b,WBGene00004951
K11G12.1a,WBGene00003530
M02D8.4a,WBGene00019730
M03A8.1,WBGene00000991
M28.5,WBGene00010896
R01H10.1,WBGene00001002
R01H2.6,WBGene00006713
R05D11.8,WBGene00011036
R08C7.10b,WBGene00019953
R10E4.4.1,WBGene00003157
R11A8.7f,WBGene00011240
R11A8.6.1,WBGene00002152
R11D1.8.1,WBGene00004442
R12B2.4,WBGene00001869
R12H7.2,WBGene00000217
R74.7,WBGene00011281
F42A6.7d.1,WBGene00001999
Y51H4A.3a,WBGene00004357
T01C3.7.1,WBGene00001423
T01C3.6.1,WBGene00004485
T02G5.9b,WBGene00002238
T04A8.7a,WBGene00011409
T04A8.8,WBGene00011410
T05A10.3,WBGene00011460
T05H10.1,WBGene00011507
T06D8.8.1,WBGene00004465
T07C4.5,WBGene00011561
T07D4.4a,WBGene00011580
T08A9.1,WBGene00020334
T08G2.3.1,WBGene00020366
T08H10.1,WBGene00020369
T12G3.1a.1,WBGene00011737
T13H5.4,WBGene00011758
T14G11.3,WBGene00020511
T20B5.1.1,WBGene00000161
T20H4.3a.1,WBGene00004189
T21B10.3,WBGene00011885
T24B8.1a.1,WBGene00004446
T24H10.3,WBGene00001041
T25G12.5,WBGene00020812
ZK742.1a.1,WBGene00002078
W05H9.1a,WBGene00021048
ZC395.10.1,WBGene00022599
ZC434.5.1,WBGene00001337
ZK1058.1,WBGene00014202
ZK1127.4,WBGene00022851
ZK328.2.1,WBGene00001166
ZK418.9a,WBGene00022738
ZK455.1.1,WBGene00000040
ZK546.2c,WBGene00022759
ZK829.4.1,WBGene00014095
ZK863.3,WBGene00014123
Y50E8A.4a,WBGene00006795
C12D8.11.1,WBGene00004405
F44A2.1b,WBGene00006499
B0035.5,WBGene00007108
C29A12.3a,WBGene00002985
T21B10.2c.1,WBGene00011884
ZC434.8.1,WBGene00013894
ZK1058.2,WBGene00003930
C08A9.10,WBGene00044773
Y92H12A.5b,WBGene00022361
JC8.14,WBGene00044737
R151.7a.1,WBGene00020110
ZK381.4b,WBGene00003992
Y40B10A.1a,WBGene00021486
Y45F3A.3a.1,WBGene00012860
C41G11.1a,WBGene00016568
ZC8.4a.1,WBGene00022500
F21H11.2a,WBGene00004728
C09B8.6a,WBGene00002023
K06G5.1a.1,WBGene00010605
R07G3.3b,WBGene00019940
DC2.3b,WBGene00017080
Y54E10A.11.1,WBGene00021831
Y47G6A.15,WBGene00021641
Y37E3.17b,WBGene00021355
D2063.3a,WBGene00017062
Y57G11C.43,WBGene00013332
T01E8.8,WBGene00011335
C18E3.7a,WBGene00004093
Y65B4BR.5b,WBGene00022042
Y44E3A.6b.1,WBGene00021551
F28F5.3c,WBGene00017904
F09F7.4a.1,WBGene00017301
T17H7.4d.1,WBGene00003936
T05H4.13c.1,WBGene00000110
F44E7.4a,WBGene00018426
Y54G11A.13a,WBGene00013220
H06H21.6a.1,WBGene00019163
C37E2.1.1,WBGene00007993
D2005.5,WBGene00008400
F10G8.6,WBGene00008664
F20D1.3,WBGene00008975
F25H2.11,WBGene00009122
F27D4.4a,WBGene00009189
F43G9.1.1,WBGene00009664
R07H5.8,WBGene00011128
T08G11.1a,WBGene00011629
T08G11.4a.1,WBGene00011631
F45E4.2,WBGene00004046
K08F11.3.1,WBGene00019543
F25H2.9,WBGene00003926
Y67H2A.6b,WBGene00000818
Y67H2A.5.1,WBGene00013463
Y71G12B.1a,WBGene00022141
Y39G10AR.2a,WBGene00021460
Y39G10AR.14a.1,WBGene00003156
Y39G10AR.8,WBGene00021466
Y39G10AR.10,WBGene00021468
R13A5.8,WBGene00004420
M04F3.1.1,WBGene00019767
F28A10.6,WBGene00017874
ZK892.1f,WBGene00002266
T17E9.2b,WBGene00020549
Y74C10AR.1a,WBGene00001232
Y58A7A.4,WBGene00021978
Y24D9A.4a,WBGene00004419
E01A2.2a,WBGene00017085
Y37E3.10a,WBGene00021351
Y71H2AM.13,WBGene00022178
Y65B4A.6a,WBGene00022029
Y34D9A.10,WBGene00021334
Y32G9A.8a.1,WBGene00021305
F48E3.4,WBGene00018605
Y59A8B.10a.1,WBGene00013347
Y59A8A.3,WBGene00013340
F14F9.4,WBGene00017467
C23G10.8,WBGene00016015
F22F7.1a,WBGene00017719
T22D1.10.1,WBGene00020687
T22D1.4,WBGene00020683
T22D1.9,WBGene00004458
Y65B4BL.5c,WBGene00022037
Y65B4BL.2a,WBGene00022034
Y55F3BR.6b,WBGene00021943
Y55F3AR.3a,WBGene00021934
Y55F3AM.13,WBGene00021930
Y55F3AM.12,WBGene00021929
Y55F3AM.4a,WBGene00021922
Y47G6A.8.1,WBGene00000794
Y47G6A.11,WBGene00003422
Y39A3CL.1,WBGene00021440
Y38C1AA.2,WBGene00000815
Y34D9A.6,WBGene00021331
Y71F9AL.17.1,WBGene00022119
Y71F9AL.9,WBGene00022114
Y71F9AL.12,WBGene00022117
ZK973.6,WBGene00000140
ZK616.4.1,WBGene00022774
Y110A7A.8,WBGene00022458
Y110A7A.16,WBGene00022463
W06H8.1b,WBGene00004373
F55A3.3,WBGene00018849
Y53F4B.22a.1,WBGene00013168
W02A11.4,WBGene00006700
Y111B2A.3,WBGene00013729
F58D5.1a.1,WBGene00002000
F23C8.5a.1,WBGene00017734
Y55H10A.1,WBGene00021952
M57.2a.1,WBGene00019778
C29F9.7,WBGene00003931
T10B5.5a.1,WBGene00020391
Y87G2A.6.1,WBGene00000891
Y79H2A.6,WBGene00000201
Y79H2A.1a,WBGene00000273
Y62E10A.1.1,WBGene00004410
Y56A3A.29a,WBGene00013241
Y47D3A.26b,WBGene00004873
Y46G5A.10,WBGene00012901
Y46G5A.31,WBGene00001793
Y46G5A.12,WBGene00012903
Y46G5A.4,WBGene00012896
Y41E3.10b,WBGene00012768
Y116A8C.34a.1,WBGene00000889
Y113G7B.17.1,WBGene00013766
Y113G7A.3,WBGene00004754
Y105C5B.28a,WBGene00001604
W09C5.6a,WBGene00004445
H15N14.1c,WBGene00000079
C46C2.5,WBGene00008113
C14A4.14,WBGene00007564
W04B5.3a,WBGene00021020
F46E10.10a,WBGene00018491
H19M22.2b,WBGene00002915
B0250.5,WBGene00007122
Y49E10.1,WBGene00004506
W02A2.2,WBGene00001390
K08E3.5b,WBGene00010665
K08E3.6.1,WBGene00000875
F29C12.4.1,WBGene00009246
NA,WBGene00045383
Y18D10A.20,WBGene00003989
W06D4.4,WBGene00012298
Y49A3A.2.1,WBGene00013025
Y54G9A.6,WBGene00013209
Y54E2A.11a.1,WBGene00001225
Y40B1B.5,WBGene00012738
Y62H9A.5,WBGene00013393
Y62H9A.6,WBGene00013394
Y62H9A.4.1,WBGene00013392
